Sigla,Código,Município,Programa Bolsa Família (PBF) - número de benefícios em dezembro (2021),Programa Bolsa Família (PBF) - valor total dos benefícios em dezembro (2021),
RS,4319505,São Sebastião do Caí,644,137.399,
RS,4319604,São Sepé,1018,164.959,
RS,4319703,São Valentim,75,11.761,
RS,4319711,São Valentim do Sul,10,1.913,
RS,4319737,São Valério do Sul,299,68.135,
RS,4319752,São Vendelino,4,0.797,
RS,4319802,São Vicente do Sul,411,88.384,
RS,4319901,Sapiranga,2073,489.898,
RS,4320008,Sapucaia do Sul,4462,866.41,
RS,4320107,Sarandi,662,135.888,
RS,4320206,Seberi,576,97.808,
RS,4320230,Sede Nova,126,22.587,
RS,4320263,Segredo,388,65.433,
RS,4320305,Selbach,89,21.428,
RS,4320321,Senador Salgado Filho,122,23.354,
RS,4320354,Sentinela do Sul,347,67.028,
RS,4320404,Serafina Corrêa,167,37.425,
RS,4320453,Sério,49,9.595,
RS,4320503,Sertão,209,41.907,
RS,4320552,Sertão Santana,200,33.356,
RS,4320578,Sete de Setembro,91,13.419,
RS,4320602,Severiano de Almeida,57,10.634,
RS,4320651,Silveira Martins,67,12.735,
RS,4320677,Sinimbu,466,104.224,
RS,4320701,Sobradinho,543,107.486,
RS,4320800,Soledade,1737,312.907,
RS,4320859,Tabaí,144,32.304,
RS,4320909,Tapejara,403,84.176,
RS,4321006,Tapera,155,26.638,
RS,4321105,Tapes,540,85.228,
RS,4321204,Taquara,1138,238.284,
RS,4321303,Taquari,1227,244.95,
RS,4321329,Taquaruçu do Sul,66,12.074,
RS,4321352,Tavares,409,76.501,
RS,4321402,Tenente Portela,837,215.906,
RS,4321436,Terra de Areia,630,156.167,
RS,4321451,Teutônia,226,50.249,
RS,4321469,Tio Hugo,48,8.181,
RS,4321477,Tiradentes do Sul,141,22.4,
RS,4321493,Toropi,115,19.279,
RS,4321501,Torres,1129,217.198,
RS,4321600,Tramandaí,1880,369.077,
RS,4321626,Travesseiro,14,2.232,
RS,4321634,Três Arroios,5,0.602,
RS,4321667,Três Cachoeiras,243,48.381,
RS,4321709,Três Coroas,394,90.979,
RS,4321808,Três de Maio,817,153.84,
RS,4321832,Três Forquilhas,126,25.984,
RS,4321857,Três Palmeiras,238,46.196,
RS,4321907,Três Passos,745,158.647,
RS,4321956,Trindade do Sul,276,54.739,
RS,4322004,Triunfo,1199,280.233,
RS,4322103,Tucunduva,132,24.07,
RS,4322152,Tunas,372,69.197,
RS,4322186,Tupanci do Sul,52,10.023,
RS,4322202,Tupanciretã,1642,324.021,
RS,4322251,Tupandi,32,7.648,
RS,4322301,Tuparendi,177,33.307,
RS,4322327,Turuçu,147,28.813,
RS,4322343,Ubiretama,36,5.657,
RS,4322350,União da Serra,11,1.749,
RS,4322376,Unistalda,214,35.233,
RS,4322400,Uruguaiana,7038,1558.392,
RS,4322509,Vacaria,2294,486.35,
RS,4322525,Vale Verde,158,32.88,
RS,4322533,Vale do Sol,237,36.528,
RS,4322541,Vale Real,36,7.165,
RS,4322558,Vanini,25,5.559,
RS,4322608,Venâncio Aires,1973,358.613,
RS,4322707,Vera Cruz,718,128.658,
RS,4322806,Veranópolis,326,64.752,
RS,4322855,Vespasiano Correa,7,1.485,
RS,4322905,Viadutos,96,16.018,
RS,4323002,Viamão,10844,2535.031,
RS,4323101,Vicente Dutra,427,100.539,
RS,4323200,Victor Graeff,30,6.313,
RS,4323309,Vila Flores,16,2.854,
RS,4323358,Vila Lângaro,19,4.375,
RS,4323408,Vila Maria,42,8.104,
RS,4323457,Vila Nova do Sul,427,86.118,
RS,4323507,Vista Alegre,79,15.622,
RS,4323606,Vista Alegre do Prata,10,2.054,
RS,4323705,Vista Gaúcha,135,27.877,
RS,4323754,Vitória das Missões,214,36.183,
RS,4323770,Westfalia,9,1.675,
RS,4323804,Xangri-lá,446,113.014,
RS,4399919,Santa Cristina do Pinhal,,,
RS,4399929,Santa Izabel,,,
SC,4200051,Abdon Batista,127,32.389,
SC,4200101,Abelardo Luz,1387,306.427,
SC,4200200,Agrolândia,91,20.783,
SC,4200309,Agronômica,26,6.616,
SC,4200408,Água Doce,79,15.219,
SC,4200507,Águas de Chapecó,266,51.167,
SC,4200556,Águas Frias,32,7.005,
SC,4200606,Águas Mornas,28,5.231,
SC,4200705,Alfredo Wagner,313,67.284,
SC,4200754,Alto Bela Vista,18,2.901,
SC,4200804,Anchieta,151,30.059,
SC,4200903,Angelina,135,22.718,
SC,4201000,Anita Garibaldi,772,172.328,
SC,4201109,Anitápolis,142,33.02,
SC,4201208,Antônio Carlos,133,29.8,
SC,4201257,Apiúna,111,23.806,
SC,4201273,Arabutã,58,12.053,
SC,4201307,Araquari,1114,260.901,
SC,4201406,Araranguá,960,188.822,
SC,4201505,Armazém,153,40.608,
SC,4201604,Arroio Trinta,21,4.605,
SC,4201653,Arvoredo,34,6.749,
SC,4201703,Ascurra,69,15.49,
SC,4201802,Atalanta,41,9.589,
SC,4201901,Aurora,75,16.669,
SC,4201950,Balneário Arroio do Silva,429,81.944,
SC,4202008,Balneário Camboriú,1222,247.382,
SC,4202057,Balneário Barra do Sul,463,113.587,
SC,4202073,Balneário Gaivota,409,91.048,
SC,4202081,Bandeirante,101,18.017,
SC,4202099,Barra Bonita,51,9.674,
SC,4202107,Barra Velha,764,186.568,
SC,4202131,Bela Vista do Toldo,406,77.966,
SC,4202156,Belmonte,67,13.739,
SC,4202206,Benedito Novo,105,26.464,
SC,4202305,Biguaçu,1720,414.888,
SC,4202404,Blumenau,3930,922.287,
SC,4202438,Bocaina do Sul,214,46.926,
SC,4202453,Bombinhas,393,106.05,
SC,4202503,Bom Jardim da Serra,223,52.72,
SC,4202537,Bom Jesus,151,32.034,
SC,4202578,Bom Jesus do Oeste,41,10.075,
SC,4202602,Bom Retiro,491,122.566,
SC,4202701,Botuverá,50,12.584,
SC,4202800,Braço do Norte,370,94.246,
SC,4202859,Braço do Trombudo,29,5.345,
SC,4202875,Brunópolis,159,25.083,
SC,4202909,Brusque,1634,405.19,
SC,4203006,Caçador,1746,374.958,
SC,4203105,Caibi,210,47.768,
SC,4203154,Calmon,239,57.316,
SC,4203204,Camboriú,1289,255.118,
SC,4203253,Capão Alto,120,25.134,
SC,4203303,Campo Alegre,290,62.836,
SC,4203402,Campo Belo do Sul,269,47.918,
SC,4203501,Campo Erê,568,122.468,
SC,4203600,Campos Novos,437,77.449,
SC,4203709,Canelinha,622,162.981,
SC,4203808,Canoinhas,1497,310.284,
SC,4203907,Capinzal,327,54.019,
SC,4203956,Capivari de Baixo,249,47.208,
SC,4204004,Catanduvas,303,71.736,
SC,4204103,Caxambu do Sul,256,59.311,
SC,4204152,Celso Ramos,120,23.264,
SC,4204178,Cerro Negro,252,50.35,
SC,4204194,Chapadão do Lageado,56,9.714,
SC,4204202,Chapecó,3564,668.238,
SC,4204251,Cocal do Sul,200,49.723,
SC,4204301,Concórdia,811,164.083,
SC,4204350,Cordilheira Alta,71,18.071,
SC,4204400,Coronel Freitas,207,38.378,
SC,4204459,Coronel Martins,96,15.398,
SC,4204509,Corupá,231,53.492,
SC,4204558,Correia Pinto,802,155.842,
SC,4204608,Criciúma,3461,814.472,
SC,4204707,Cunha Porã,106,19.329,
SC,4204756,Cunhataí,8,1.5,
SC,4204806,Curitibanos,1506,313.407,
SC,4204905,Descanso,127,28.592,
SC,4205001,Dionísio Cerqueira,480,108.823,
SC,4205100,Dona Emma,25,5.392,
SC,4205159,Doutor Pedrinho,10,3.421,
SC,4205175,Entre Rios,414,93.182,
SC,4205191,Ermo,88,23.499,
SC,4205209,Erval Velho,29,5.248,
SC,4205308,Faxinal dos Guedes,236,50.948,
SC,4205357,Flor do Sertão,43,10.375,
SC,4205407,Florianópolis,7357,1471.105,
SC,4205431,Formosa do Sul,87,20.584,
SC,4205456,Forquilhinha,394,84.498,
SC,4205506,Fraiburgo,1129,266.204,
SC,4205555,Frei Rogério,112,26.75,
SC,4205605,Galvão,155,36.193,
SC,4205704,Garopaba,728,141.894,
SC,4205803,Garuva,481,100.075,
SC,4205902,Gaspar,678,129.487,
SC,4206009,Governador Celso Ramos,374,97.405,
SC,4206108,Grão Pará,82,17.256,
SC,4206207,Gravatal,238,46.928,
SC,4206306,Guabiruba,403,98.322,
SC,4206405,Guaraciaba,118,20.647,
SC,4206504,Guaramirim,1040,221.849,
SC,4206603,Guarujá do Sul,98,17.257,
SC,4206652,Guatambú,177,36.845,
SC,4206702,Herval d'Oeste,377,80.989,
SC,4206751,Ibiam,67,14.328,
SC,4206801,Ibicaré,73,17.528,
SC,4206900,Ibirama,182,39.778,
SC,4207007,Içara,1129,292.636,
SC,4207106,Ilhota,394,100.406,
SC,4207205,Imaruí,528,122.119,
SC,4207304,Imbituba,1266,271.636,
SC,4207403,Imbuia,89,16.279,
SC,4207502,Indaial,509,122.371,
SC,4207577,Iomerê,16,3.999,
SC,4207601,Ipira,66,12.66,
SC,4207650,Iporã do Oeste,104,27.868,
SC,4207684,Ipuaçu,895,197.811,
SC,4207700,Ipumirim,90,20.245,
SC,4207759,Iraceminha,84,18.215,
SC,4207809,Irani,175,32.967,
SC,4207858,Irati,69,13.155,
SC,4207908,Irineópolis,471,99.032,
SC,4208005,Itá,142,29.28,
SC,4208104,Itaiópolis,587,125.227,
SC,4208203,Itajaí,3676,777.01,
SC,4208302,Itapema,1219,260.926,
SC,4208401,Itapiranga,102,20.198,
SC,4208450,Itapoá,602,138.298,
SC,4208500,Ituporanga,232,50.113,
SC,4208609,Jaborá,72,15.789,
SC,4208708,Jacinto Machado,324,66.932,
SC,4208807,Jaguaruna,388,85.696,
SC,4208906,Jaraguá do Sul,1654,372.915,
SC,4208955,Jardinópolis,51,9.749,
SC,4209003,Joaçaba,399,91.169,
SC,4209102,Joinville,8323,1868.431,
SC,4209151,José Boiteux,230,70.767,
SC,4209177,Jupiá,97,19.599,
SC,4209201,Lacerdópolis,11,2.265,
SC,4209300,Lages,6121,1327.332,
SC,4209409,Laguna,824,138.623,
SC,4209458,Lajeado Grande,45,9.348,
SC,4209508,Laurentino,74,17.263,
SC,4209607,Lauro Muller,363,77.719,
SC,4209706,Lebon Régis,737,151.745,
SC,4209805,Leoberto Leal,149,24.72,
SC,4209854,Lindóia do Sul,67,14.538,
SC,4209904,Lontras,71,17.269,
SC,4210001,Luiz Alves,144,30.27,
SC,4210035,Luzerna,27,5.468,
SC,4210050,Macieira,30,6.444,
SC,4210100,Mafra,1024,206.452,
SC,4210209,Major Gercino,145,37.906,
SC,4210308,Major Vieira,327,60.9,
SC,4210407,Maracajá,197,52.106,
SC,4210506,Maravilha,327,63.567,
SC,4210555,Marema,49,10.49,
SC,4210605,Massaranduba,165,38.759,
SC,4210704,Matos Costa,168,38.172,
SC,4210803,Meleiro,210,52.717,
SC,4210852,Mirim Doce,51,9.368,
SC,4210902,Modelo,56,12.301,
SC,4211009,Mondaí,150,27.685,
SC,4211058,Monte Carlo,621,146.67,
SC,4211108,Monte Castelo,588,126.915,
SC,4211207,Morro da Fumaça,249,57.565,
SC,4211256,Morro Grande,121,20.13,
SC,4211306,Navegantes,2188,453.667,
SC,4211405,Nova Erechim,71,14.093,
SC,4211454,Nova Itaberaba,133,23.344,
SC,4211504,Nova Trento,202,43.902,
SC,4211603,Nova Veneza,218,56.026,
SC,4211652,Novo Horizonte,69,15.048,
SC,4211702,Orleans,511,122.658,
SC,4211751,Otacílio Costa,329,70.839,
SC,4211801,Ouro,106,23.219,
SC,4211850,Ouro Verde,127,27.597,
SC,4211876,Paial,55,12.829,
SC,4211892,Painel,123,28.715,
SC,4211900,Palhoça,2651,593.627,
SC,4212007,Palma Sola,342,78.516,
SC,4212056,Palmeira,70,15.286,
SC,4212106,Palmitos,283,61.177,
SC,4212205,Papanduva,485,97.423,
SC,4212239,Paraíso,101,21.134,
SC,4212254,Passo de Torres,379,93.99,
SC,4212270,Passos Maia,221,53.537,
SC,4212304,Paulo Lopes,175,35.346,
SC,4212403,Pedras Grandes,41,9.592,
SC,4212502,Penha,573,142.129,
SC,4212601,Peritiba,16,3.29,
SC,4212650,Pescaria Brava,364,104.291,
SC,4212700,Petrolândia,80,16.444,
SC,4212809,Piçarras,543,127.436,
SC,4212908,Pinhalzinho,168,32.161,
SC,4213005,Pinheiro Preto,37,7.615,
SC,4213104,Piratuba,78,17.709,
SC,4213153,Planalto Alegre,55,10.842,
SC,4213203,Pomerode,69,13.422,
SC,4213302,Ponte Alta,179,37.327,
SC,4213351,Ponte Alta do Norte,162,38.127,
SC,4213401,Ponte Serrada,516,117.341,
SC,4213500,Porto Belo,350,75.742,
SC,4213609,Porto União,656,115.505,
SC,4213708,Pouso Redondo,205,46.28,
SC,4213807,Praia Grande,375,84.767,
SC,4213906,Presidente Castelo Branco,25,4.941,
SC,4214003,Presidente Getúlio,120,29.963,
SC,4214102,Presidente Nereu,35,6.66,
SC,4214151,Princesa,50,9.308,
SC,4214201,Quilombo,281,64.343,
SC,4214300,Rancho Queimado,29,5.762,
SC,4214409,Rio das Antas,166,39.382,
SC,4214508,Rio do Campo,79,16.066,
SC,4214607,Rio do Oeste,44,9.304,
SC,4214706,Rio dos Cedros,75,19.369,
SC,4214805,Rio do Sul,872,188.726,
SC,4214904,Rio Fortuna,26,5.422,
SC,4215000,Rio Negrinho,659,128.697,
SC,4215059,Rio Rufino,162,35.961,
SC,4215075,Riqueza,126,25.177,
SC,4215109,Rodeio,100,21.426,
SC,4215208,Romelândia,174,35.866,
SC,4215307,Salete,62,14.866,
SC,4215356,Saltinho,161,33.404,
SC,4215406,Salto Veloso,61,13.395,
SC,4215455,Sangão,217,53.345,
SC,4215505,Santa Cecília,1000,218.97,
SC,4215554,Santa Helena,22,4.179,
SC,4215604,Santa Rosa de Lima,26,6.202,
SC,4215653,Santa Rosa do Sul,264,53.102,
SC,4215679,Santa Terezinha,166,29.278,
SC,4215687,Santa Terezinha do Progresso,131,27.303,
SC,4215695,Santiago do Sul,42,10.384,
SC,4215703,Santo Amaro da Imperatriz,298,63.205,
SC,4215752,São Bernardino,101,22.474,
SC,4215802,São Bento do Sul,1174,256.477,
SC,4215901,São Bonifácio,59,11.2,
SC,4216008,São Carlos,155,29.889,
SC,4216057,São Cristovão do Sul,247,57.389,
SC,4216107,São Domingos,269,55.365,
SC,4216206,São Francisco do Sul,952,212.416,
SC,4216255,São João do Oeste,32,5.851,
SC,4216305,São João Batista,428,84.529,
SC,4216354,São João do Itaperiú,60,16.159,
SC,4216404,São João do Sul,263,55.923,
SC,4216503,São Joaquim,746,157.018,
SC,4216602,São José,3616,857.835,
SC,4216701,São José do Cedro,278,50.371,
SC,4216800,São José do Cerrito,524,106.556,
SC,4216909,São Lourenço do Oeste,419,82.83,
SC,4217006,São Ludgero,137,31.955,
SC,4217105,São Martinho,40,8.139,
SC,4217154,São Miguel da Boa Vista,52,11.069,
SC,4217204,São Miguel do Oeste,521,94.344,
SC,4217253,São Pedro de Alcântara,51,11.513,
SC,4217303,Saudades,110,24.723,
SC,4217402,Schroeder,133,27.878,
SC,4217501,Seara,185,38.491,
SC,4217550,Serra Alta,37,7.721,
SC,4217600,Siderópolis,213,44.215,
SC,4217709,Sombrio,668,147.034,
SC,4217758,Sul Brasil,56,11.466,
SC,4217808,Taió,262,65.355,
SC,4217907,Tangará,196,42.413,
SC,4217956,Tigrinhos,51,9.343,
SC,4218004,Tijucas,929,233.643,
SC,4218103,Timbé do Sul,223,59.647,
SC,4218202,Timbó,234,48.558,
SC,4218251,Timbó Grande,749,196.616,
SC,4218301,Três Barras,864,195.416,
SC,4218350,Treviso,41,10.941,
SC,4218400,Treze de Maio,41,10.345,
SC,4218509,Treze Tílias,93,19.401,
SC,4218608,Trombudo Central,74,15.709,
SC,4218707,Tubarão,1729,364.67,
SC,4218756,Tunápolis,45,7.339,
SC,4218806,Turvo,169,36.241,
SC,4218855,União do Oeste,56,11.285,
SC,4218905,Urubici,390,95.343,
SC,4218954,Urupema,215,50.88,
SC,4219002,Urussanga,321,71.942,
SC,4219101,Vargeão,77,14.863,
SC,4219150,Vargem,90,15.364,
SC,4219176,Vargem Bonita,155,29.982,
SC,4219200,Vidal Ramos,152,26.965,
SC,4219309,Videira,617,124.868,
SC,4219358,Vitor Meireles,217,55.556,
SC,4219408,Witmarsum,55,12.047,
SC,4219507,Xanxerê,754,137.932,
SC,4219606,Xavantina,35,5.693,
SC,4219705,Xaxim,564,106.589,
SC,4219853,Zortéa,52,11.517,
SC,4220000,Balneário Rincão,712,182.542,
SC,4299919,São Miguel,,,
SE,2800100,Amparo de São Francisco,346,73.408,
SE,2800209,Aquidabã,2960,528.716,
SE,2800308,Aracaju,35243,6528.033,
SE,2800407,Arauá,1761,356.94,
SE,2800506,Areia Branca,2286,456.884,
SE,2800605,Barra dos Coqueiros,2905,563.993,
SE,2800670,Boquim,4067,768.361,
SE,2800704,Brejo Grande,1420,326.921,
SE,2801009,Campo do Brito,2337,408.06,
SE,2801108,Canhoba,1011,271.162,
SE,2801207,Canindé de São Francisco,4758,1009.988,
SE,2801306,Capela,5188,1175.387,
SE,2801405,Carira,3580,653.978,
SE,2801504,Carmópolis,2324,473.412,
SE,2801603,Cedro de São João,738,151.332,
SE,2801702,Cristinápolis,3215,737.103,
SE,2801900,Cumbe,778,150.231,
SE,2802007,Divina Pastora,672,157.612,
SE,2802106,Estância,8954,1694.925,
SE,2802205,Feira Nova,1107,271.604,
SE,2802304,Frei Paulo,2308,488.032,
SE,2802403,Gararu,2383,606.057,
SE,2802502,General Maynard,445,93.246,
SE,2802601,Gracho Cardoso,1520,405.145,
SE,2802700,Ilha das Flores,1692,368.85,
SE,2802809,Indiaroba,2643,622.944,
SE,2802908,Itabaiana,10604,1822.944,
SE,2803005,Itabaianinha,7274,1798.41,
SE,2803104,Itabi,838,197.155,
SE,2803203,Itaporanga d'Ajuda,5199,1086.206,
SE,2803302,Japaratuba,2725,514.674,
SE,2803401,Japoatã,3398,696.879,
SE,2803500,Lagarto,15292,2903.099,
SE,2803609,Laranjeiras,3283,659.598,
SE,2803708,Macambira,1252,231.753,
SE,2803807,Malhada dos Bois,546,127.946,
SE,2803906,Malhador,2052,338.095,
SE,2804003,Maruim,2166,398.892,
SE,2804102,Moita Bonita,1233,199.03,
SE,2804201,Monte Alegre de Sergipe,3207,841.739,
SE,2804300,Muribeca,1259,285.067,
SE,2804409,Neópolis,2956,602.32,
SE,2804458,Nossa Senhora Aparecida,1424,310.461,
SE,2804508,Nossa Senhora da Glória,6367,1095.385,
SE,2804607,Nossa Senhora das Dores,4528,887.514,
SE,2804706,Nossa Senhora de Lourdes,1036,210.948,
SE,2804805,Nossa Senhora do Socorro,22026,4091.933,
SE,2804904,Pacatuba,2394,517.674,
SE,2805000,Pedra Mole,631,141.865,
SE,2805109,Pedrinhas,1655,321.353,
SE,2805208,Pinhão,995,223.06,
SE,2805307,Pirambu,1383,281.506,
SE,2805406,Poço Redondo,6364,1553.073,
SE,2805505,Poço Verde,3849,927.548,
SE,2805604,Porto da Folha,5596,1473.211,
SE,2805703,Propriá,3737,746.946,
SE,2805802,Riachão do Dantas,3500,707.649,
SE,2805901,Riachuelo,1646,292.03,
SE,2806008,Ribeirópolis,2212,375.937,
SE,2806107,Rosário do Catete,1566,364.813,
SE,2806206,Salgado,3120,587.443,
SE,2806305,Santa Luzia do Itanhy,2709,708.208,
SE,2806404,Santana do São Francisco,1641,449.286,
SE,2806503,Santa Rosa de Lima,696,155.662,
SE,2806602,Santo Amaro das Brotas,2251,411.262,
SE,2806701,São Cristóvão,11446,2205.781,
SE,2806800,São Domingos,1639,281.518,
SE,2806909,São Francisco,549,121.689,
SE,2807006,São Miguel do Aleixo,704,169.708,
SE,2807105,Simão Dias,9783,2324.408,
SE,2807204,Siriri,1423,361.355,
SE,2807303,Telha,636,141.031,
SE,2807402,Tobias Barreto,7661,1457.547,
SE,2807501,Tomar do Geru,2227,440.279,
SE,2807600,Umbaúba,3775,718.855,
SP,3500105,Adamantina,411,74.722,
SP,3500204,Adolfo,144,28.366,
SP,3500303,Aguaí,1439,310.065,
SP,3500402,Águas da Prata,168,35.348,
SP,3500501,Águas de Lindóia,431,78.76,
SP,3500550,Águas de Santa Bárbara,327,73.905,
SP,3500600,Águas de São Pedro,45,9.515,
SP,3500709,Agudos,1007,211.453,
SP,3500758,Alambari,182,32.051,
